,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count
78,2004,6.82,1.53,0.05,0.08,8.49,95.0,91.0,1218.0
79,2010,1.75,3.47,2.49,0.67,8.38,68.0,42.0,54.0
80,2007,3.74,2.24,1.58,0.7,8.27,62.0,41.0,190.0
81,2012,1.06,5.01,0.13,1.97,8.16,88.0,37.0,348.0
82,1997,5.8,2.01,0.13,0.15,8.09,,,
83,2012,2.79,1.72,3.14,0.41,8.07,,,
84,2001,2.91,2.07,2.73,0.33,8.05,92.0,53.0,1056.0
85,2009,0.99,6.42,0.0,0.6,8.01,86.0,75.0,886.0
86,2007,2.57,3.86,0.66,0.91,7.99,,,
87,2015,2.99,3.49,0.22,1.28,7.98,,,
88,1999,2.28,1.72,3.63,0.23,7.86,90.0,24.0,644.0
89,1982,7.28,0.45,0.0,0.08,7.81,,,
90,2008,2.76,1.72,2.69,0.54,7.72,83.0,46.0,203.0
91,2005,2.9,2.81,0.24,1.73,7.69,88.0,65.0,451.0
92,2014,2.81,3.48,0.14,1.23,7.66,83.0,39.0,1443.0
93,1998,4.1,1.89,1.45,0.16,7.6,,,
94,2016,0.66,5.75,0.08,1.11,7.59,85.0,41.0,398.0
95,1997,3.78,2.17,1.31,0.31,7.58,,,
96,2014,3.27,1.37,2.43,0.48,7.55,,,
97,2010,3.56,2.35,0.98,0.62,7.51,97.0,87.0,1854.0
98,1988,5.39,1.18,0.7,0.19,7.46,,,
99,2015,4.59,2.11,0.01,0.68,7.39,,,
100,2008,4.81,1.88,0.0,0.69,7.38,84.0,84.0,580.0
101,2011,4.46,2.11,0.06,0.69,7.32,84.0,57.0,2142.0
102,2003,3.27,2.83,0.08,1.02,7.2,85.0,33.0,171.0
103,2009,3.48,2.99,0.0,0.73,7.2,49.0,21.0,110.0
104,2011,2.85,2.89,0.35,1.08,7.17,85.0,38.0,1761.0
105,2015,2.53,3.27,0.24,1.13,7.16,87.0,58.0,4228.0
106,1998,3.27,2.22,1.4,0.29,7.16,96.0,15.0,367.0
107,2006,3.74,2.14,0.6,0.68,7.15,95.0,73.0,1658.0
108,2016,2.98,1.45,2.26,0.45,7.14,,,
109,1998,3.68,1.75,1.42,0.28,7.13,91.0,12.0,432.0
110,2014,3.15,2.15,1.28,0.51,7.09,88.0,82.0,1599.0
111,2001,4.41,1.04,1.39,0.22,7.07,92.0,38.0,568.0
112,2003,4.12,1.77,0.87,0.19,6.95,,,
113,2004,2.71,3.02,0.08,1.09,6.9,82.0,39.0,132.0
114,2002,2.93,2.75,0.17,0.99,6.83,88.0,29.0,135.0
115,1996,3.23,2.35,0.94,0.3,6.82,,,
116,2012,4.05,2.16,0.0,0.55,6.76,74.0,10.0,28.0
117,2008,4.15,1.9,0.06,0.64,6.75,93.0,90.0,2739.0
118,2011,2.77,2.75,0.19,1.03,6.74,92.0,97.0,3712.0
119,2010,3.45,2.59,0.0,0.66,6.71,,,
120,2007,3.11,2.26,0.28,1.03,6.68,94.0,44.0,993.0
121,2009,3.27,2.2,0.21,0.98,6.66,96.0,105.0,5187.0
122,2011,0.84,4.3,0.11,1.39,6.65,,,
123,2005,1.66,2.75,1.6,0.62,6.62,74.0,45.0,27.0
124,1986,3.74,0.93,1.69,0.14,6.51,,,
125,2010,2.79,2.53,0.17,0.99,6.49,95.0,73.0,2456.0
126,2013,0.78,4.24,0.07,1.37,6.47,86.0,37.0,576.0
127,2012,2.64,2.52,0.16,1.12,6.45,85.0,41.0,1307.0
128,2010,3.17,1.79,1.03,0.46,6.44,87.0,77.0,368.0
129,2001,4.98,1.3,0.08,0.07,6.43,97.0,68.0,1283.0
130,2011,2.55,2.6,0.25,1.0,6.41,92.0,16.0,2527.0
131,2004,2.57,1.58,2.06,0.21,6.41,76.0,28.0,222.0
132,2002,3.64,1.2,1.49,0.07,6.4,85.0,46.0,597.0
133,2000,2.55,1.56,1.29,0.99,6.39,,,
134,2009,4.34,1.34,0.06,0.61,6.34,83.0,94.0,1163.0
135,2010,3.7,1.95,0.09,0.58,6.32,95.0,96.0,2316.0
136,2002,4.01,1.26,0.87,0.17,6.31,92.0,61.0,439.0
137,1992,2.47,0.83,2.87,0.12,6.3,,,
138,2004,0.08,6.21,0.0,0.0,6.29,93.0,57.0,2182.0
139,1999,3.11,2.8,0.02,0.33,6.27,87.0,22.0,78.0
140,2011,4.05,1.59,0.07,0.5,6.21,91.0,96.0,1504.0
141,2010,3.92,1.73,0.03,0.51,6.19,73.0,51.0,95.0
142,2006,3.54,1.88,0.07,0.6,6.09,94.0,88.0,2295.0
143,2014,0.8,4.33,0.05,0.9,6.08,82.0,47.0,988.0
144,2001,2.45,2.01,0.87,0.72,6.05,96.0,42.0,1026.0
145,1992,4.47,1.2,0.16,0.19,6.03,,,
146,1998,3.18,1.83,0.78,0.24,6.03,94.0,20.0,918.0
147,2008,2.63,1.71,0.83,0.82,5.99,94.0,82.0,3558.0
148,2006,1.88,0.0,2.33,1.74,5.95,92.0,64.0,972.0
149,2013,2.41,2.18,0.28,0.99,5.87,95.0,98.0,8003.0
150,2008,2.8,1.98,0.17,0.87,5.82,95.0,85.0,5311.0
151,1998,1.88,1.47,2.02,0.45,5.82,89.0,13.0,364.0
152,2009,0.63,0.67,4.35,0.15,5.78,87.0,65.0,197.0
153,1996,2.26,1.89,1.36,0.23,5.74,89.0,8.0,102.0
154,2014,2.49,2.07,0.16,0.92,5.64,76.0,95.0,5380.0
155,2007,3.57,1.55,0.0,0.51,5.64,80.0,17.0,62.0
156,2006,3.07,1.91,0.07,0.57,5.63,67.0,35.0,21.0
157,1988,2.97,0.69,1.81,0.11,5.58,,,
158,1999,2.95,0.6,1.97,0.04,5.55,,,
159,2009,2.54,1.93,0.21,0.86,5.55,91.0,70.0,1202.0
160,2007,3.28,1.64,0.07,0.56,5.54,81.0,77.0,1074.0
161,2009,2.99,1.9,0.1,0.5,5.49,92.0,90.0,516.0
162,2001,3.14,1.24,0.91,0.2,5.49,84.0,19.0,41.0
163,2008,0.47,0.55,4.13,0.34,5.48,81.0,48.0,124.0
164,2011,2.71,1.85,0.11,0.81,5.48,96.0,42.0,2162.0
165,2014,2.81,2.19,0.0,0.47,5.48,97.0,14.0,764.0
166,2001,2.62,1.64,0.99,0.23,5.47,93.0,24.0,108.0
167,2001,3.21,1.11,0.95,0.2,5.46,,,
168,1999,3.18,1.24,0.94,0.09,5.45,,,
169,2001,2.07,2.29,0.24,0.82,5.42,66.0,22.0,156.0
170,2008,2.73,1.83,0.0,0.83,5.39,85.0,45.0,409.0
171,2016,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7064.0
172,1989,2.18,0.96,2.0,0.2,5.34,,,
173,2009,1.74,1.21,1.87,0.51,5.33,83.0,83.0,2483.0
174,1999,3.02,1.12,1.01,0.16,5.31,,,
175,2000,1.62,0.77,2.78,0.14,5.3,94.0,22.0,779.0
176,2012,3.13,1.69,0.03,0.44,5.29,84.0,61.0,1196.0
177,2003,1.92,1.08,2.11,0.17,5.29,85.0,45.0,400.0
178,1999,3.33,0.79,1.09,0.06,5.27,,,
179,2014,3.22,1.55,0.01,0.48,5.27,81.0,53.0,898.0
180,2014,2.03,2.37,0.0,0.87,5.26,,,
181,2009,3.11,1.55,0.08,0.51,5.26,90.0,82.0,1305.0
182,1997,2.3,2.46,0.2,0.28,5.24,85.0,13.0,
183,,4.26,0.26,0.01,0.71,5.23,94.0,29.0,140.0
184,2013,0.97,2.11,1.9,0.24,5.23,,,
185,2012,2.3,1.34,1.27,0.32,5.22,84.0,70.0,733.0
186,2004,0.65,0.75,3.61,0.2,5.21,89.0,63.0,245.0
187,2003,2.93,1.25,0.83,0.2,5.2,,,
188,2007,1.21,2.43,1.03,0.52,5.19,85.0,72.0,147.0
189,1994,2.49,0.98,1.57,0.15,5.19,,,
190,2012,1.09,3.47,0.03,0.57,5.16,90.0,48.0,403.0
191,1995,2.1,0.74,2.2,0.11,5.15,,,
192,2012,2.44,2.16,0.0,0.54,5.14,88.0,86.0,9629.0
193,2003,1.98,2.23,0.13,0.8,5.13,68.0,30.0,100.0
194,1992,2.71,0.61,1.7,0.11,5.13,,,
195,1996,3.22,1.69,0.0,0.2,5.12,,,
196,2006,3.81,0.63,0.0,0.68,5.12,92.0,69.0,112.0
197,2010,3.59,1.08,0.05,0.38,5.1,80.0,88.0,604.0
198,2008,1.63,2.45,0.44,0.57,5.09,,,
199,2009,1.96,1.41,1.08,0.64,5.09,84.0,76.0,667.0
200,2007,1.85,1.8,0.95,0.48,5.08,90.0,57.0,416.0
201,1999,3.4,1.3,0.15,0.22,5.07,,,
202,2010,0.61,3.28,0.06,1.12,5.07,89.0,51.0,233.0
203,1996,2.05,1.16,1.11,0.73,5.05,91.0,8.0,266.0
204,2006,1.7,1.99,0.16,1.18,5.03,86.0,50.0,150.0
205,1999,3.42,1.38,0.02,0.2,5.02,92.0,18.0,69.0
206,1999,2.79,1.89,0.0,0.33,5.01,,,
207,1998,3.36,1.36,0.07,0.21,5.0,,,
208,2007,3.49,0.01,0.01,1.48,4.98,82.0,24.0,46.0
209,2007,3.05,1.17,0.29,0.46,4.98,68.0,34.0,47.0
210,2007,1.83,1.19,1.54,0.37,4.93,,,
211,2008,3.4,0.99,0.09,0.45,4.93,93.0,84.0,1655.0
212,2007,2.31,1.72,0.12,0.77,4.92,88.0,66.0,2306.0
213,2005,3.98,0.26,0.01,0.66,4.91,88.0,29.0,121.0
214,1997,2.91,0.99,0.89,0.1,4.88,,,
215,2010,0.0,0.0,4.87,0.0,4.87,,,
216,2014,2.6,1.08,0.81,0.38,4.87,,,
217,1990,2.62,0.6,1.52,0.1,4.85,,,
218,2010,2.57,1.68,0.0,0.58,4.84,93.0,82.0,3052.0
219,2007,1.91,2.0,0.09,0.82,4.82,81.0,40.0,769.0
220,2010,2.74,1.33,0.12,0.61,4.8,92.0,101.0,2633.0
221,1999,2.57,1.57,0.44,0.21,4.79,88.0,20.0,233.0
222,2007,2.83,1.48,0.0,0.45,4.76,80.0,9.0,46.0
223,2000,2.36,2.1,0.02,0.25,4.73,62.0,14.0,92.0
224,2011,2.99,1.27,0.04,0.42,4.73,94.0,87.0,1472.0
225,2014,1.88,2.0,0.07,0.77,4.71,,,
226,2003,1.73,2.19,0.0,0.79,4.7,,,
227,2000,3.05,1.41,0.02,0.2,4.68,98.0,19.0,299.0
228,2002,1.94,1.95,0.08,0.7,4.67,82.0,32.0,78.0
229,1996,2.29,1.97,0.13,0.24,4.63,91.0,13.0,147.0
230,2008,1.82,1.12,1.32,0.36,4.62,73.0,50.0,119.0
231,2015,2.07,1.71,0.08,0.76,4.62,86.0,78.0,1264.0
232,1991,2.42,0.91,1.15,0.13,4.61,,,
233,2002,2.6,0.99,0.89,0.13,4.6,96.0,80.0,968.0
234,2007,3.04,1.11,0.0,0.43,4.6,86.0,36.0,87.0
235,2013,1.8,1.39,1.11,0.29,4.59,86.0,74.0,458.0
236,2011,2.08,1.97,0.06,0.46,4.57,91.0,83.0,617.0
237,2009,1.87,1.96,0.22,0.48,4.53,,,
238,2004,4.18,0.26,0.01,0.08,4.53,91.0,30.0,78.0
239,2007,3.19,0.91,0.01,0.42,4.53,85.0,69.0,165.0
240,1981,4.21,0.24,0.0,0.05,4.5,,,
241,2006,3.63,0.24,0.01,0.61,4.49,84.0,29.0,39.0
242,2015,2.78,1.27,0.03,0.41,4.48,84.0,101.0,2438.0
243,2002,2.71,1.51,0.03,0.23,4.48,76.0,25.0,41.0
244,2000,0.2,0.14,4.1,0.02,4.47,,,
245,2016,1.61,2.0,0.15,0.71,4.46,77.0,82.0,1129.0
246,2005,2.71,1.29,0.02,0.43,4.45,94.0,75.0,997.0
247,2015,1.54,1.18,1.46,0.26,4.43,81.0,88.0,1184.0
248,2012,2.52,1.11,0.46,0.33,4.42,77.0,61.0,471.0
249,2001,2.66,1.29,0.01,0.46,4.41,97.0,34.0,298.0
250,2006,0.1,2.39,1.05,0.86,4.39,86.0,19.0,33.0
251,2006,2.82,1.03,0.13,0.4,4.38,94.0,90.0,1109.0
252,1987,2.19,0.5,1.61,0.08,4.38,,,
253,2005,2.03,1.79,0.08,0.47,4.37,82.0,36.0,137.0
254,2010,2.64,1.33,0.01,0.39,4.36,56.0,37.0,31.0
255,2014,1.56,1.93,0.19,0.68,4.36,,,207.0
256,2006,1.74,1.72,0.14,0.75,4.34,86.0,70.0,715.0
257,1991,3.03,0.91,0.26,0.13,4.34,,,
258,2005,2.2,0.58,1.38,0.17,4.33,87.0,64.0,766.0
259,2011,2.09,1.31,0.62,0.31,4.33,,,
260,2013,2.11,1.16,0.73,0.32,4.32,93.0,83.0,1607.0
261,2014,1.48,2.02,0.14,0.68,4.32,,,
262,1980,4.0,0.26,0.0,0.05,4.31,,,
263,2014,2.77,1.11,0.0,0.4,4.29,,,221.0
264,2014,0.58,3.02,0.04,0.64,4.28,,,109.0
265,2008,2.51,1.24,0.11,0.41,4.27,89.0,95.0,2423.0
266,2001,3.0,1.11,0.05,0.07,4.24,79.0,10.0,6.0
267,2009,2.24,1.31,0.07,0.61,4.23,91.0,70.0,1122.0
268,2004,1.46,0.0,0.83,1.93,4.23,91.0,68.0,955.0
269,2011,1.41,2.01,0.1,0.7,4.22,80.0,39.0,613.0
270,2015,2.51,1.32,0.01,0.38,4.22,88.0,39.0,1749.0
271,2013,0.92,2.89,0.01,0.4,4.22,84.0,41.0,435.0
272,2006,2.45,1.01,0.0,0.75,4.21,85.0,59.0,109.0
273,1995,1.7,2.27,0.0,0.23,4.21,,,
274,2005,0.78,2.55,0.04,0.84,4.21,80.0,32.0,47.0
275,2003,0.88,2.3,0.2,0.83,4.2,80.0,32.0,22.0
276,2007,1.28,1.82,0.57,0.52,4.19,80.0,67.0,120.0
277,2011,2.25,1.47,0.04,0.43,4.19,80.0,77.0,564.0
278,2011,0.84,2.78,0.02,0.53,4.18,,,
279,1989,3.38,0.44,0.31,0.04,4.17,,,
280,2009,2.03,1.04,0.58,0.52,4.16,94.0,61.0,330.0
281,1984,2.04,0.48,1.57,0.07,4.16,,,
282,1997,3.79,0.27,0.0,0.11,4.16,,,
283,2002,3.36,0.21,0.01,0.56,4.14,95.0,25.0,65.0
284,1997,4.03,0.0,0.09,0.0,4.12,96.0,24.0,3161.0
285,1995,1.65,0.61,1.76,0.09,4.12,,,
286,2006,0.71,2.48,0.03,0.89,4.11,,,
287,1992,1.42,0.51,2.1,0.07,4.1,,,
288,2007,2.57,1.52,0.0,0.0,4.09,91.0,46.0,785.0
289,2016,1.1,2.15,0.21,0.61,4.08,88.0,31.0,809.0
290,2007,2.32,0.04,0.04,1.67,4.07,93.0,70.0,709.0
291,2005,0.12,2.26,0.9,0.77,4.06,,,23.0
292,2010,2.66,1.03,0.04,0.33,4.05,84.0,81.0,769.0
293,2007,2.35,1.27,0.03,0.41,4.05,90.0,66.0,381.0
294,2007,2.12,1.47,0.05,0.42,4.05,56.0,27.0,44.0
295,2014,1.4,1.9,0.11,0.64,4.05,80.0,80.0,2996.0
296,1996,2.28,1.55,0.16,0.06,4.05,,,
297,2000,1.68,1.51,0.51,0.35,4.05,85.0,25.0,117.0
298,2014,1.13,2.18,0.1,0.63,4.04,85.0,83.0,1653.0
299,1997,2.78,0.58,0.64,0.04,4.03,,,
300,1984,1.22,0.28,2.46,0.04,4.01,,,
301,2005,2.08,1.35,0.0,0.54,3.98,61.0,21.0,
302,2009,2.67,0.87,0.05,0.38,3.97,89.0,76.0,681.0
303,2015,1.02,2.13,0.23,0.59,3.97,92.0,79.0,10179.0
304,2014,1.19,2.07,0.08,0.62,3.96,70.0,40.0,2050.0
305,2015,1.53,1.69,0.1,0.64,3.95,87.0,89.0,2679.0
306,2011,2.03,1.16,0.37,0.38,3.95,93.0,81.0,1958.0
307,2008,2.15,1.13,0.07,0.59,3.94,90.0,57.0,910.0
308,2007,0.9,1.76,0.92,0.37,3.94,84.0,65.0,72.0
309,1994,1.97,0.76,1.07,0.11,3.91,,,
310,2009,2.09,1.35,0.06,0.4,3.9,81.0,27.0,39.0
311,2003,2.29,1.17,0.01,0.42,3.9,90.0,38.0,121.0
312,2014,0.68,0.48,2.62,0.11,3.89,86.0,80.0,348.0
313,2011,1.16,2.12,0.0,0.6,3.88,94.0,32.0,9073.0
314,2015,2.49,0.66,0.03,0.69,3.88,87.0,51.0,364.0
315,2005,0.93,1.94,0.31,0.7,3.87,88.0,62.0,229.0
316,1988,0.1,0.0,3.77,0.0,3.87,,,
317,2006,1.53,1.6,0.06,0.67,3.87,84.0,9.0,220.0
318,2011,1.44,1.41,0.73,0.27,3.85,,,
319,2004,0.16,1.89,1.12,0.68,3.85,91.0,26.0,38.0
320,2010,2.13,1.12,0.1,0.5,3.84,76.0,64.0,104.0
321,1995,2.12,1.44,0.22,0.06,3.84,,,
322,1992,2.21,0.96,0.54,0.13,3.83,,,
323,2013,1.78,1.43,0.05,0.57,3.83,78.0,49.0,1564.0
324,2007,0.86,1.56,1.05,0.35,3.83,59.0,22.0,4.0
325,2016,1.35,1.7,0.15,0.6,3.8,80.0,64.0,2219.0
326,2007,1.05,1.91,0.41,0.42,3.79,68.0,33.0,39.0
327,1996,1.82,1.24,0.47,0.25,3.77,,,
328,2009,2.23,0.47,0.81,0.26,3.77,,,
329,2008,2.4,1.01,0.0,0.36,3.76,77.0,60.0,66.0
330,2002,2.03,1.56,0.0,0.17,3.76,79.0,21.0,29.0
331,2007,1.4,1.39,0.1,0.86,3.74,,,
332,2001,1.37,2.0,0.14,0.22,3.73,64.0,11.0,41.0
333,2011,1.12,1.87,0.27,0.45,3.72,,,
334,1999,1.3,0.77,1.54,0.11,3.72,,,
335,2007,1.95,0.86,0.59,0.31,3.71,85.0,56.0,417.0
336,2000,1.93,1.58,0.0,0.19,3.71,91.0,15.0,207.0
337,2013,1.33,1.68,0.13,0.57,3.71,88.0,36.0,840.0
338,2004,0.58,2.48,0.04,0.59,3.7,81.0,27.0,56.0
339,1998,1.49,0.73,1.38,0.1,3.7,,,
340,2009,0.0,0.0,3.67,0.0,3.67,,,
341,2002,2.13,1.18,0.01,0.35,3.67,94.0,27.0,128.0
342,2015,2.04,1.28,0.02,0.32,3.66,,,
343,2007,1.58,1.59,0.08,0.41,3.66,67.0,15.0,13.0
344,2005,1.65,1.21,0.0,0.79,3.65,74.0,34.0,31.0
345,1998,1.87,1.13,0.55,0.1,3.65,,,
346,2002,2.53,0.81,0.06,0.24,3.65,82.0,42.0,82.0
347,2001,2.08,1.09,0.15,0.33,3.64,90.0,35.0,312.0
348,1999,2.23,0.68,0.66,0.06,3.63,,,
349,2007,0.05,0.0,0.64,2.93,3.63,82.0,10.0,38.0
350,2005,2.08,0.83,0.46,0.25,3.62,96.0,38.0,1013.0
351,2008,2.32,0.96,0.0,0.34,3.62,86.0,18.0,71.0
352,2009,0.6,2.45,0.05,0.52,3.62,91.0,56.0,203.0
353,2004,1.93,1.22,0.03,0.44,3.61,82.0,36.0,142.0
354,1994,2.05,1.4,0.0,0.16,3.61,,,
355,2001,2.02,1.17,0.0,0.42,3.61,64.0,23.0,32.0
356,2001,2.38,0.67,0.46,0.1,3.6,78.0,34.0,161.0
357,2013,1.35,1.55,0.17,0.51,3.59,85.0,18.0,1580.0
358,2005,2.18,1.02,0.03,0.37,3.59,84.0,30.0,268.0
359,2013,1.88,1.39,0.0,0.31,3.59,,,10.0
360,2007,1.6,1.49,0.1,0.39,3.58,70.0,39.0,9.0
361,2000,2.01,1.35,0.06,0.16,3.58,,,
362,1997,1.57,1.79,0.0,0.2,3.56,,,
363,2006,1.56,1.4,0.07,0.5,3.54,78.0,49.0,112.0
364,2002,1.23,1.77,0.05,0.49,3.54,72.0,49.0,88.0
365,1997,1.66,1.58,0.12,0.18,3.54,,,
366,2001,1.9,1.13,0.1,0.41,3.53,72.0,27.0,48.0
367,2005,1.98,1.14,0.01,0.41,3.53,,,
368,2000,1.96,1.33,0.0,0.23,3.52,,,
369,2010,0.71,2.39,0.02,0.4,3.52,88.0,66.0,155.0
370,1999,2.14,1.21,0.01,0.17,3.52,,,
371,2008,2.66,0.49,0.05,0.3,3.51,89.0,67.0,1309.0
372,1996,1.17,0.5,1.75,0.08,3.51,,,
373,2014,2.27,0.9,0.0,0.33,3.5,72.0,59.0,1005.0
374,1985,1.64,0.38,1.42,0.06,3.5,,,
375,2009,2.11,0.93,0.12,0.34,3.5,83.0,91.0,523.0
376,2010,2.85,0.38,0.03,0.24,3.49,89.0,81.0,693.0
377,,0.59,2.36,0.04,0.51,3.49,84.0,20.0,76.0
378,2013,1.3,1.42,0.27,0.5,3.49,80.0,14.0,579.0
379,2009,2.2,0.95,0.02,0.31,3.48,92.0,78.0,1080.0
380,2013,2.15,1.01,0.02,0.31,3.48,79.0,21.0,542.0
381,2010,2.1,1.01,0.04,0.32,3.47,88.0,75.0,869.0
382,2009,1.21,1.62,0.27,0.37,3.46,,,
383,2008,2.1,1.01,0.01,0.35,3.46,71.0,70.0,29.0
384,2006,0.59,1.79,0.73,0.34,3.45,83.0,30.0,28.0
385,2013,0.0,0.0,3.44,0.0,3.44,,,
386,2009,2.4,0.71,0.03,0.29,3.44,84.0,83.0,715.0
387,2002,1.55,1.27,0.33,0.29,3.44,79.0,23.0,126.0
388,1994,0.86,0.0,2.55,0.02,3.42,,,
389,1998,1.13,2.07,0.0,0.22,3.42,70.0,15.0,67.0
390,2015,1.09,1.36,0.49,0.48,3.41,93.0,86.0,3943.0
391,2004,1.75,1.2,0.02,0.43,3.41,80.0,50.0,106.0
392,1990,1.73,0.69,0.59,0.4,3.41,,,
393,2002,0.46,2.28,0.05,0.61,3.4,88.0,15.0,35.0
394,2011,1.83,1.05,0.06,0.46,3.39,91.0,86.0,657.0
395,2000,1.56,1.47,0.19,0.17,3.39,68.0,12.0,99.0
396,2015,0.81,1.99,0.07,0.52,3.39,76.0,86.0,1319.0
397,2008,2.04,1.02,0.0,0.32,3.38,76.0,49.0,75.0
398,2014,2.14,0.92,0.0,0.31,3.37,75.0,11.0,1735.0
399,1998,2.47,0.76,0.0,0.13,3.36,,,
400,2000,1.9,0.67,0.73,0.06,3.36,,,
401,2012,0.88,1.7,0.1,0.67,3.35,90.0,32.0,1041.0
402,1998,1.63,1.53,0.0,0.18,3.34,,,
